# data/collection.txt
#
# Mapping of publication collection to department(s) of publication author(s).

# COMMUNITY                                         # COLLECTION NAME                                                   # NORMALIZED DEPARTMENT NAME(S)
College of Arts & Sciences                          | ~ GENERAL, College of Arts & Sciences                             | Arts & Sciences; Dean's Office, College of Arts & Sciences; Learning Design and Technology; Undergraduate; Undergraduate Academic Programs and Admin; Visiting Scholar
College of Arts & Sciences                          |   African American and African Studies                            | African American and African Studies
College of Arts & Sciences                          |   American Studies                                                | American Studies
College of Arts & Sciences                          |   Anthropology                                                    | Anthropology
College of Arts & Sciences                          |   Astronomy                                                       | Astronomy
College of Arts & Sciences                          |   Biology                                                         | Biology
College of Arts & Sciences                          |   Chemistry                                                       | Chemistry
College of Arts & Sciences                          |   Classics                                                        | Classics
College of Arts & Sciences                          |   Drama                                                           | Drama
College of Arts & Sciences                          |   East Asian                                                      | East Asian Language Literature and Cultures
College of Arts & Sciences                          |   Economics                                                       | Economics
College of Arts & Sciences                          |   English                                                         | English
College of Arts & Sciences                          |   Environmental Sciences                                          | Environmental Sciences
College of Arts & Sciences                          |   French                                                          | French
College of Arts & Sciences                          |   Geography                                                       | Geography
College of Arts & Sciences                          |   German                                                          | German
College of Arts & Sciences                          |   History                                                         | History
College of Arts & Sciences                          |   Mathematics                                                     | Mathematics
College of Arts & Sciences                          |   Media Studies                                                   | Media Studies
College of Arts & Sciences                          |   Middle Eastern and South Asian                                  | Middle Eastern and South Asian Languages and Cultures
College of Arts & Sciences                          |   Music                                                           | Music
College of Arts & Sciences                          |   Philosophy                                                      | Philosophy
College of Arts & Sciences                          |   Physics                                                         | Physics
College of Arts & Sciences                          |   Politics                                                        | Politics
College of Arts & Sciences                          |   Psychology                                                      | Psychology
College of Arts & Sciences                          |   Religious Studies                                               | Religious Studies
College of Arts & Sciences                          |   Sociology                                                       | Sociology
College of Arts & Sciences                          |   Spanish, Italian & Portuguese                                   | Spanish, Italian & Portuguese
College of Arts & Sciences                          |   Women, Gender & Sexuality                                       | Women, Gender & Sexuality
Darden School of Business                           | ~ GENERAL, Darden School of Business                              | Academic Operations
Frank Batten School of Leadership and Public Policy | ~ GENERAL, Frank Batten School of Leadership and Public Policy    | Leadership and Public Policy; Dean Administration; Social Entrepreneurship Initiative
Global Studies                                      | ~ GENERAL, Global Studies                                         | Global Studies; Global Studies and Politics; Global Environments + Sustainability
McIntire School of Commerce                         | ~ GENERAL, McIntire School of Commerce                            | Commerce
School of Architecture                              | ~ GENERAL, School of Architecture                                 | Architecture; Dean's Office, School of Architecture
School of Architecture                              |   Architectural History                                           | Architectural History
School of Architecture                              |   Landscape Architecture                                          | Landscape Architecture
School of Architecture                              |   Urban and Environmental Planning                                | Urban and Environmental Planning
School of Data Science                              | ~ GENERAL, School of Data Science                                 | Data Science; Dean's Office, School of Data Science; Data Science Graduate; Diversity & Inclusion; Environmental Institute; Faculty Affairs; Research; Research Administration Arts & Sciences; Research Development
School of Education and Human Development           | ~ GENERAL, School of Education and Human Development              | Education; Education Leadership, Foundations & Policy; Kinesiology; Youth-Nex
School of Engineering                               | ~ GENERAL, School of Engineering                                  | Engineering; Center for Applied Biomechanics; Engineering Foundations; Engineering and Society; Graduate Programs Office; Graduate Writing Lab; Institute for Parallel Computation; Undergrad Office
School of Engineering                               |   Applied Mathematics                                             | Applied Mathematics
School of Engineering                               |   Biomedical Engineering                                          | Biomedical Engineering
School of Engineering                               |   Chemical Engineering                                            | Chemical Engineering
School of Engineering                               |   Civil and Environmental Engineering                             | Civil and Environmental Engineering
School of Engineering                               |   Computer Science                                                | Computer Science
School of Engineering                               |   Electrical and Computer Engineering                             | Electrical and Computer Engineering
School of Engineering                               |   Engineering Systems and Environment                             | Engineering Systems and Environment
School of Engineering                               |   Materials Science and Engineering                               | Materials Science and Engineering
School of Engineering                               |   Mechanical and Aerospace Engineering                            | Mechanical and Aerospace Engineering
School of Engineering                               |   Systems and Information Engineering                             | Systems and Information Engineering
School of Law                                       | ~ GENERAL, School of Law                                          | Law; Law Library; Law School Central; Faculty Main
